,antecedent,pd,cls,conf_pd,conf_pnd,elift,sup_pd,sup_pnd
2,['NumberOfOpenCreditLinesAndLoans=14<x<29'],age=0<x<25,class=YES,0.2926829268292683,0.3172043010752688,0.9226953286482017,12.0,59.0
5,['NumberOfOpenCreditLinesAndLoans=x>43'],age=0<x<25,class=YES,0.2727272727272727,0.27717391304347827,0.9839572192513368,15.0,51.0
6,['NumberOfOpenCreditLinesAndLoans=x<0'],age=0<x<25,class=NO,0.7560975609756098,0.7680412371134021,0.9844491733507938,31.0,149.0
1,['NumberOfOpenCreditLinesAndLoans=29<x<43'],age=0<x<25,class=NO,0.7272727272727273,0.7386934673366834,0.984539270253556,32.0,147.0
4,['NumberOfOpenCreditLinesAndLoans=x>43'],age=0<x<25,class=NO,0.7272727272727273,0.7228260869565217,1.0061517429938482,40.0,133.0
3,['NumberOfOpenCreditLinesAndLoans=14<x<29'],age=0<x<25,class=NO,0.7073170731707317,0.6827956989247311,1.0359131937776072,29.0,127.0
0,['NumberOfOpenCreditLinesAndLoans=29<x<43'],age=0<x<25,class=YES,0.2727272727272727,0.2613065326633166,1.0437062937062935,12.0,52.0
7,['NumberOfOpenCreditLinesAndLoans=x<0'],age=0<x<25,class=YES,0.24390243902439024,0.23195876288659795,1.051490514905149,10.0,45.0
